miRNA 1A 2A 3A 4A 5A 6A 7A 8A 9A 10A 11A 12A 13A 14A 15A 16A 17A 18A 19A 20A 21A 22A 23A 24A 25A 26A 27A 28A 29A 30A 31A 32A 33A 34A 35A 36A 37A 38A 39A 40A 41A 42A 43A 44A 45A 46A 47A 48A 49A 50A 51A 52A 53A 54A 55A 56A 57A 58A 59A 60A 61A 62A 63A 64A 65A 66A 67A 68A 69A 70A
hsa-miR-576-3p 32.00 8.00 19.00 39.00 96.00 112.00 18.00 16.00 14.00 26.00 57.00 95.00 111.00 53.00 25.00 57.00 8.00 32.00 15.00 12.00 11.00 11.00 18.00 49.00 22.00 37.00 6.00 16.00 37.00 20.00 9.00 51.00 32.00 30.00 211.00 112.00 29.00 141.00 53.00 40.00 61.00 91.00 27.00 21.00 79.00 28.00 31.00 51.00 11.00 70.00 38.00 32.00 17.00 26.00 46.00 100.00 79.00 35.00 7.00 6.00 30.00 71.00 196.00 24.00 45.00 0.00 13.00 11.00 0.00 34.00
hsa-miR-140-5p 528.00 189.00 385.00 1484.00 3069.00 3051.00 369.00 958.00 1024.00 1564.00 2803.00 2528.00 2792.00 853.00 1309.00 2009.00 342.00 1597.00 355.00 1604.00 438.00 624.00 362.00 1075.00 410.00 812.00 234.00 516.00 847.00 827.00 454.00 1363.00 871.00 925.00 2750.00 2446.00 1736.00 1814.00 2176.00 1483.00 1040.00 2211.00 2064.00 544.00 2323.00 852.00 620.00 1811.00 169.00 1166.00 907.00 712.00 180.00 473.00 1126.00 1945.00 1418.00 810.00 200.00 123.00 980.00 1131.00 2163.00 409.00 1457.00 571.00 643.00 1773.00 896.00 683.00
hsa-miR-522-5p 0 0 0 0 0 0 6 0 6 12 0 0 0 0 0 6 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 6 0 6 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 6 6 0 0 0 0 0 0 0
hsa-miR-133a-3p 542 54 80 1084 2504 1260 56 904 1198 1090 7150 200 1202 2768 2692 2532 352 1294 616 2550 92 754 790 910 304 972 282 196 1030 530 48 590 364 552 1378 976 1268 1116 182 2768 4836 1902 2470 412 702 1406 2478 552 244 3328 2160 808 274 666 1724 1140 1194 1592 174 228 382 1912 158 240 1602 966 1918 2232 2412 1032
hsa-miR-1298-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 4.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-557 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4743-3p 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 1.00 2.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 0.00 1.00 2.00 0.00 2.00 0.00 0.00 1.00 0.00 1.00 1.00 4.00 0.00 0.00 1.00 1.00 0.00 2.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 2.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-548ao-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5088-5p 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 0.00 1.00 0.00 0.00 1.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 2.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 19.00 0.00 0.00 0.00
hsa-miR-4649-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
