miRNA 1B 2B 3B 4B 5B 6B 7B 8B 9B 10B 11B 12B 13B 14B 15B 16B 17B 18B 19B 20B 21B 22B 23B 24B 25B 26B 27B 28B 29B 30B 31B 32B 33B 34B 35B 36B 37B 38B 39B 40B 41B 42B 43B 44B 45B 46B 47B 48B 49B 50B 51B 52B 53B 54B 55B 56B 57B 58B 59B 60B 61B 62B 63B 64B 65B 66B 67B 68B 69B 70B
hsa-miR-576-3p 163.00 22.00 75.00 62.00 47.00 46.00 32.00 32.00 20.00 91.00 67.00 23.00 103.00 37.00 22.00 36.00 63.00 33.00 16.00 16.00 17.00 7.00 12.00 15.00 32.00 53.00 5.00 13.00 13.00 43.00 95.00 23.00 39.00 49.00 86.00 32.00 121.00 146.00 49.00 77.00 76.00 63.00 5.00 73.00 53.00 49.00 80.00 34.00 72.00 56.00 40.00 43.00 16.00 84.00 42.00 55.00 37.00 31.00 9.00 5.00 52.00 60.00 36.00 18.00 55.00 78.00 34.00 0.00 43.00 0.00
hsa-miR-140-5p 2817.00 826.00 2491.00 2259.00 2106.00 1454.00 1404.00 1250.00 1054.00 2274.00 3012.00 304.00 3149.00 995.00 910.00 1696.00 1168.00 474.00 173.00 339.00 145.00 488.00 150.00 912.00 907.00 1189.00 312.00 127.00 299.00 916.00 1556.00 717.00 1066.00 1123.00 2336.00 1260.00 2740.00 2167.00 1354.00 2501.00 2549.00 619.00 513.00 2753.00 2002.00 1868.00 1545.00 450.00 463.00 1481.00 1398.00 772.00 289.00 1839.00 1040.00 664.00 863.00 985.00 350.00 208.00 1172.00 1018.00 1464.00 432.00 1437.00 1375.00 833.00 937.00 764.00 342.00
hsa-miR-522-5p 0 0 0 0 1 0 1 0 12 38 0 0 2 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 6 1 6 0 0 2 0 1 0 0 0 7 0 1 1 0 0 0 0 0 0 0 0 0 0 17 0
hsa-miR-133a-3p 1838 472 1526 970 644 398 350 1528 2736 2168 5474 318 730 1396 846 3966 1010 764 174 820 50 556 262 466 538 1492 258 38 258 448 32 314 274 42 958 218 7468 482 1732 18106 10362 248 712 1354 504 5560 2494 1040 374 3234 3776 1102 290 220 2972 462 622 1210 612 528 498 2240 628 78 3644 1118 482 364 3164 234
hsa-miR-1298-5p 5.00 0.00 2.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 1.00 0.00 0.00 1.00 1.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00
hsa-miR-557 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4743-3p 0.00 0.00 0.00 1.00 0.00 0.00 1.00 1.00 1.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 2.00 3.00 0.00 0.00 1.00 5.00 0.00 0.00 0.00 0.00 4.00 1.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-548ao-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5088-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 1.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4649-5p 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
