miRNA 1A 1B 2A 2B 3A 3B 4A 4B 5A 5B 6A 6B 7A 7B 8A 8B 9A 9B 10A 10B 11A 11B 12A 12B 13A 13B 14A 14B 15A 15B 16A 16B 17A 17B 18A 18B 19A 19B 20A 20B 21A 21B 22A 22B 23A 23B 24A 24B 25A 25B 26A 26B 27A 27B 28A 28B 29A 29B 30A 30B
hsa-miR-576-3p 32.00 163.00 8.00 22.00 19.00 75.00 39.00 62.00 96.00 47.00 112.00 46.00 18.00 32.00 16.00 32.00 14.00 20.00 26.00 91.00 57.00 67.00 95.00 23.00 111.00 103.00 53.00 37.00 25.00 22.00 57.00 36.00 8.00 63.00 32.00 33.00 15.00 16.00 12.00 16.00 11.00 17.00 11.00 7.00 18.00 12.00 49.00 15.00 22.00 32.00 37.00 53.00 6.00 5.00 16.00 13.00 37.00 13.00 20.00 43.00
hsa-miR-140-5p 528.00 2817.00 189.00 826.00 385.00 2491.00 1484.00 2259.00 3069.00 2106.00 3051.00 1454.00 369.00 1404.00 958.00 1250.00 1024.00 1054.00 1564.00 2274.00 2803.00 3012.00 2528.00 304.00 2792.00 3149.00 853.00 995.00 1309.00 910.00 2009.00 1696.00 342.00 1168.00 1597.00 474.00 355.00 173.00 1604.00 339.00 438.00 145.00 624.00 488.00 362.00 150.00 1075.00 912.00 410.00 907.00 812.00 1189.00 234.00 312.00 516.00 127.00 847.00 299.00 827.00 916.00
hsa-miR-522-5p 0 0 0 0 0 0 0 0 0 1 0 0 6 1 0 0 6 12 12 38 0 0 0 0 0 2 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 3
hsa-miR-133a-3p 542 1838 54 472 80 1526 1084 970 2504 644 1260 398 56 350 904 1528 1198 2736 1090 2168 7150 5474 200 318 1202 730 2768 1396 2692 846 2532 3966 352 1010 1294 764 616 174 2550 820 92 50 754 556 790 262 910 466 304 538 972 1492 282 258 196 38 1030 258 530 448
hsa-miR-1298-5p 0.00 5.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-557 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4743-3p 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 1.00 1.00 1.00 1.00 1.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 2.00 1.00
hsa-miR-548ao-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5088-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 2.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4649-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
