miRNA 31A 31B 32A 32B 33A 33B 34A 34B 35A 35B 36A 36B 37A 37B 38A 38B 39A 39B 40A 40B 41A 41B 42A 42B 43A 43B 44A 44B 45A 45B 46A 46B 47A 47B 48A 48B 49A 49B 50A 50B 51A 51B 52A 52B 53A 53B 54A 54B 55A 55B 56A 56B 57A 57B 58A 58B 59A 59B 60A 60B 61A 61B 62A 62B 63A 63B 64A 64B 65A 65B 66A 66B 67A 67B 68A 68B 69A 69B 70A 70B
hsa-miR-576-3p 9.00 95.00 51.00 23.00 32.00 39.00 30.00 49.00 211.00 86.00 112.00 32.00 29.00 121.00 141.00 146.00 53.00 49.00 40.00 77.00 61.00 76.00 91.00 63.00 27.00 5.00 21.00 73.00 79.00 53.00 28.00 49.00 31.00 80.00 51.00 34.00 11.00 72.00 70.00 56.00 38.00 40.00 32.00 43.00 17.00 16.00 26.00 84.00 46.00 42.00 100.00 55.00 79.00 37.00 35.00 31.00 7.00 9.00 6.00 5.00 30.00 52.00 71.00 60.00 196.00 36.00 24.00 18.00 45.00 55.00 0.00 78.00 13.00 34.00 11.00 0.00 0.00 43.00 34.00 0.00
hsa-miR-140-5p 454.00 1556.00 1363.00 717.00 871.00 1066.00 925.00 1123.00 2750.00 2336.00 2446.00 1260.00 1736.00 2740.00 1814.00 2167.00 2176.00 1354.00 1483.00 2501.00 1040.00 2549.00 2211.00 619.00 2064.00 513.00 544.00 2753.00 2323.00 2002.00 852.00 1868.00 620.00 1545.00 1811.00 450.00 169.00 463.00 1166.00 1481.00 907.00 1398.00 712.00 772.00 180.00 289.00 473.00 1839.00 1126.00 1040.00 1945.00 664.00 1418.00 863.00 810.00 985.00 200.00 350.00 123.00 208.00 980.00 1172.00 1131.00 1018.00 2163.00 1464.00 409.00 432.00 1457.00 1437.00 571.00 1375.00 643.00 833.00 1773.00 937.00 896.00 764.00 683.00 342.00
hsa-miR-522-5p 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 6 6 1 0 6 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 7 0 0 0 1 6 1 0 0 0 0 0 0 6 0 6 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0
hsa-miR-133a-3p 48 32 590 314 364 274 552 42 1378 958 976 218 1268 7468 1116 482 182 1732 2768 18106 4836 10362 1902 248 2470 712 412 1354 702 504 1406 5560 2478 2494 552 1040 244 374 3328 3234 2160 3776 808 1102 274 290 666 220 1724 2972 1140 462 1194 622 1592 1210 174 612 228 528 382 498 1912 2240 158 628 240 78 1602 3644 966 1118 1918 482 2232 364 2412 3164 1032 234
hsa-miR-1298-5p 4.00 0.00 0.00 2.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-557 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4743-3p 0.00 0.00 1.00 0.00 2.00 0.00 0.00 0.00 2.00 0.00 0.00 2.00 0.00 3.00 1.00 0.00 0.00 0.00 1.00 1.00 1.00 5.00 4.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 4.00 0.00 1.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 2.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-548ao-3p 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5088-5p 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 4.00 2.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 2.00 1.00 1.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 19.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4649-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
